FID,ID_FISCALIZACAO_ELETRONICA,DESC_LOC_CONTROLADOR_TRANSITO,DESC_TIPO_CONTROLADOR_TRANSITO,VELOCIDADE_REGULAMENTAR,SENTIDO,SENTIDO_FISCALIZADO,NUM_SERIE_ATUAL,COD_SECUNDARIA,GEOMETRIA
FISCALIZACAO_ELETRONICA.123,123,"Av. Cristiano Machado, 500",Detector de Avanço de Semáforo,60,Centro/Bairro,Único,283,,POINT (611727.10511788 7798790.19524944)
FISCALIZACAO_ELETRONICA.124,124,"Av. Amazonas, 7675",Detector de Avanço de Semáforo,60,Bairro/Centro,Único,265,,POINT (604715.297675883 7795056.30191157)
FISCALIZACAO_ELETRONICA.125,125,Av. Afonso Pena esquina com R. dos Tupis,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,297,,POINT (611257.530070872 7796805.42535008)
FISCALIZACAO_ELETRONICA.126,126,Av. Afonso Pena esquina com R. da Bahia,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,293,,POINT (611293.412741149 7796773.58548957)
FISCALIZACAO_ELETRONICA.127,127,Av. Afonso Pena esquina com R. da Bahia,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,260,,POINT (611297.330436582 7796781.73647482)
FISCALIZACAO_ELETRONICA.128,128,Av. Afonso Pena esquina com Av. Álvares Cabral,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,299,,POINT (611451.356846092 7796509.49673727)
FISCALIZACAO_ELETRONICA.129,129,Av. Afonso Pena esquina com Av. Álvares Cabral,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,569,,POINT (611415.081941335 7796530.19861094)
FISCALIZACAO_ELETRONICA.130,130,Av. Álvares Cabral esquina com Av. Afonso pena,Detector de Avanço de Semáforo,60,Praça Afonso Arinos/Centro,Único,259,,POINT (611421.423055791 7796502.40960935)
FISCALIZACAO_ELETRONICA.131,131,Av. Afonso Pena esquina com R. dos Guajajaras,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,564,,POINT (611558.271358625 7796287.40778594)
FISCALIZACAO_ELETRONICA.132,132,Av. Afonso Pena esquina com R. dos Guajajaras,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,272,,POINT (611551.930288541 7796285.0695881)
FISCALIZACAO_ELETRONICA.133,133,Av. Afonso Pena esquina com R. dos Timbiras,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,270,,POINT (611659.431523367 7796107.55703857)
